currency,rate
AUD,0.013421
BHD,0.003785
BWP,0.112501
BRL,0.056878
BND,0.013528
BGN,0.016898
CAD,0.012427
CLP,8.210724
CNY,0.064251
COP,37.917730
HRK,0.065039
CZK,0.221879
DKK,0.064285
EUR,0.008640
HKD,0.078243
HUF,3.149294
ISK,1.297891
INR,0.754810
IDR,142.504557
IRR,422.998974
ILS,0.032285
JPY,1.143302
KZT,4.278252
KRW,11.753102
KWD,0.003035
LYD,0.045726
MYR,0.041779
MUR,0.430754
MXN,0.202972
NPR,1.213358
NZD,0.014054
NOK,0.083779
OMR,0.003870
PKR,1.756964
PHP,0.510452
PLN,0.039764
QAR,0.036638
RON,0.042748
RUB,0.705006
SAR,0.037745
SGD,0.013528
ZAR,0.148651
LKR,2.028168
SEK,0.086403
CHF,0.009233
TWD,0.280622
THB,0.333172
TTD,0.068352
TRY,0.098019
AED,0.036965
GBP,0.007306
USD,0.010065
VEF,4247.239334
