currency,rate
ARS,27.293954
AUD,0.366296
BHD,0.103297
BWP,3.071504
BRL,1.552497
BND,0.369253
BGN,0.461182
CAD,0.339184
CLP,224.102547
CNY,1.753503
COP,1034.825743
HRK,1.774856
CZK,6.055521
DKK,1.754485
EUR,0.235799
HKD,2.135610
HUF,85.955218
ISK,35.420922
INR,20.603477
IDR,3890.066539
IRR,11545.417165
ILS,0.881328
JPY,31.204753
KZT,116.759470
KRW,320.775218
KWD,0.082871
LYD,1.247867
MYR,1.140191
MUR,11.777561
MXN,5.539750
NPR,33.120090
NZD,0.383646
NOK,2.286361
OMR,0.105632
PKR,47.952415
PHP,13.931499
PLN,1.085259
RON,1.166697
RUB,19.239494
SAR,1.030220
SGD,0.369253
ZAR,4.057367
LKR,55.356451
SEK,2.358116
CHF,0.252008
TWD,7.658971
THB,9.093432
TTD,1.864792
TRY,2.674817
AED,1.008929
GBP,0.199446
USD,0.274725
VEF,116424.450592
